EmployeeID,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Attrition_Risk
1,51,6,2,1,1,131160,1.0,11,8,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,32,17,4,1,4,193280,1.0,15,8,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
4,38,2,5,1,3,83210,3.0,11,8,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
5,32,10,1,1,1,23420,4.0,12,8,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
6,46,8,3,1,4,40710,3.0,13,8,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
8,29,18,3,1,2,31430,2.0,22,8,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
9,31,1,3,1,3,20440,0.0,21,8,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
10,25,7,4,1,4,134640,1.0,13,8,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11,45,17,2,1,2,79910,0.0,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
12,36,28,1,1,1,33770,0.0,12,8,2,16.0,2,15,10,11,,4.0,3.0,3,3,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
13,55,14,4,1,1,55380,0.0,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
15,28,1,3,1,1,25920,1.0,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
16,37,1,3,1,2,53460,4.0,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
17,21,3,2,1,1,42130,1.0,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
18,37,1,3,1,2,41270,2.0,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
19,35,7,4,1,1,24380,7.0,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,38,8,3,1,1,68700,1.0,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21,26,1,4,1,2,104470,1.0,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
22,50,8,4,1,1,96670,3.0,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
23,53,11,4,1,2,21480,3.0,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
